id	English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	phrase
1	abacus	0	0	0	0	0	0	0	0	0	1	My grandfather kept an abacus on his desk and could outrace any modern calculator.
2	abandon	0	0	0	1	0	1	0	1	0	0	Nobody warned us how hard it would be to abandon the half-finished project.
3	abandoned	1	0	0	1	0	1	0	1	0	0	The abandoned warehouse on Fifth Street has become a popular spot for graffiti artists.
4	abandonment	1	0	0	1	0	1	0	1	1	0	Years of therapy helped her work through the abandonment she felt as a child.
7	abba	0	0	0	0	0	0	1	0	0	0	Friday night karaoke always ends with someone belting out an Abba classic.
8	abbot	0	0	0	0	0	0	0	0	0	1	The abbot greeted each visitor at the monastery gate with a quiet nod.
13	abduction	0	0	0	1	0	1	0	1	1	0	Police are investigating the abduction reported near the riverside park last Thursday.
14	aberrant	0	0	0	0	0	1	0	0	0	0	His aberrant behavior at the dinner finally convinced his sister to call a doctor.
15	aberration	0	0	1	0	0	1	0	0	0	0	The spike in sales last March was an aberration, not a real trend.
17	abhor	1	0	1	1	0	1	0	0	0	0	I abhor the way some companies treat their warehouse workers.
18	abhorrent	1	0	1	1	0	1	0	0	0	0	Most readers found the villain's actions in chapter twelve absolutely abhorrent.
20	ability	0	0	0	0	0	0	1	0	0	0	Her ability to defuse tense meetings made her invaluable to the leadership team.
21	abject	0	0	1	0	0	1	0	0	0	0	He stared at the abject mess his roommate had left in the kitchen sink.
24	abnormal	0	0	1	0	0	1	0	0	0	0	Bloodwork showed abnormal liver enzymes, so the doctor ordered another round of tests.
27	abolish	1	0	0	0	0	1	0	0	0	0	Several council members want to abolish the parking fees on weekends.
28	abolition	0	0	0	0	0	1	0	0	0	0	The abolition of the old curfew law made teenagers across town very happy.
29	abominable	0	0	1	1	0	1	0	0	0	0	Cold pineapple on pizza? My sister calls it abominable. I disagree.
30	abomination	1	0	1	1	0	1	0	0	0	0	Critics called the renovation an abomination that ruined the building's historic charm.
32	abort	0	0	0	0	0	1	0	0	0	0	We had to abort the launch when telemetry showed a fuel pressure drop.
33	abortion	0	0	1	1	0	1	0	1	0	0	The clinic offers counseling for anyone considering abortion or other options.
34	abortive	0	0	0	0	0	1	0	1	0	0	Her abortive attempt to learn Mandarin lasted exactly three weekends before she gave up.
36	abovementioned	0	0	0	0	0	0	1	0	0	0	Please refer to the abovementioned clauses if you need clarification on the contract.
37	abrasion	0	0	0	0	0	1	0	0	0	0	A nasty abrasion on his elbow forced him to skip Saturday's rugby match.
39	abrogate	0	0	0	0	0	1	0	0	0	0	The new administration moved to abrogate the trade agreement signed last decade.
40	abrupt	0	0	0	0	0	0	0	0	1	0	His abrupt resignation caught everyone in marketing completely off guard.
42	abscess	0	0	0	0	0	1	0	1	0	0	She finally went to the dentist after the abscess kept her up all night.
43	absence	0	0	0	1	0	1	0	1	0	0	Three weeks of absence from class meant she had a lot of catching up to do.
44	absent	0	0	0	0	0	1	0	1	0	0	Half the team was absent on Friday because of the flu going around.
45	absentee	0	0	0	0	0	1	0	1	0	0	His absentee landlord never responded to any of the maintenance requests.
46	absenteeism	0	0	0	0	0	1	0	0	0	0	Absenteeism at the factory spiked sharply after management cut overtime pay.
48	absolute	0	0	0	0	0	0	1	0	0	0	What I need from you right now is absolute honesty about what happened.
49	absolution	0	0	0	0	1	0	1	0	0	1	He sought absolution from his brother for the harsh words spoken years ago.
50	absorbed	0	0	0	0	0	0	1	0	0	0	Lost in her novel, she was so absorbed she missed her bus stop.
59	absurd	0	0	0	0	0	1	0	0	0	0	Charging twelve dollars for a single croissant strikes me as absurd.
